id,channel,title,target_url,utm_url,status,planned_order,published_at,published_url,first_24h_note,ga4_check_date,gsc_check_date,next_action,owner
N001,note,中小企業のDXが定着しない理由。ツール導入より先に整理すべきこと,https://digitool-lab.com/dx-support-saitama/,https://digitool-lab.com/dx-support-saitama/?utm_source=note&utm_medium=organic_social&utm_campaign=seo_external_202606&utm_content=N001,ready,1,,,,,,公開後にnote URLと初回反応を記録,self
N002,note,「もう一人のIT担当」という考え方。IT担当者がいない会社の現実的なDX,https://digitool-lab.com/it-tantou-outsourcing/,https://digitool-lab.com/it-tantou-outsourcing/?utm_source=note&utm_medium=organic_social&utm_campaign=seo_external_202606&utm_content=N002,ready,2,,,,,,公開後にnote URLと初回反応を記録,self
N003,note,社内ポータルを作る前に整理すべき業務。日報・申請・ナレッジ共有の入口設計,https://digitool-lab.com/internal-portal-development/,https://digitool-lab.com/internal-portal-development/?utm_source=note&utm_medium=organic_social&utm_campaign=seo_external_202606&utm_content=N003,ready,3,,,,,,公開後にnote URLと初回反応を記録,self
N004,note,補助金ありきのDXが失敗しやすい理由。制度より先に決めるべき導入範囲,https://digitool-lab.com/subsidy-dx-ai-system/,https://digitool-lab.com/subsidy-dx-ai-system/?utm_source=note&utm_medium=organic_social&utm_campaign=seo_external_202606&utm_content=N004,review,4,,,,,,採択保証に見える表現を確認してから公開,self
N005,note,AI検索時代に「見つかる会社」になるために。公式HP・MEO・会社情報で先に整えること,https://digitool-lab.com/ai-search-meo-support/,https://digitool-lab.com/ai-search-meo-support/?utm_source=note&utm_medium=organic_social&utm_campaign=seo_external_202606&utm_content=N005,ready,5,,,,,,公開後にnote URLと初回反応を記録,self
T001,zenn,中小企業向け社内ポータルの権限設計で最初に決めること,https://digitool-lab.com/internal-portal-development/,https://digitool-lab.com/internal-portal-development/?utm_source=zenn&utm_medium=organic_tech&utm_campaign=seo_external_202606&utm_content=T001,review,6,,,,,,宣伝色を落として公開,self
T002,qiita,Googleフォームとスプレッドシートで日報を自動集計する時の設計メモ,https://digitool-lab.com/excel-paper-dx/,https://digitool-lab.com/excel-paper-dx/?utm_source=qiita&utm_medium=organic_tech&utm_campaign=seo_external_202606&utm_content=T002,review,7,,,,,,コード例か疑似設定例を足して公開,self
P001,linkedin,製造業の品質判断基準の見える化,https://digitool-lab.com/industries/,https://digitool-lab.com/industries/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=seo_external_202606&utm_content=P001,review,8,,,,,,匿名事例表現として問題ないか確認,self
GBP-01,gbp,さいたま市の中小企業向けDX相談,https://digitool-lab.com/dx-support-saitama/,https://digitool-lab.com/dx-support-saitama/?utm_source=google_business_profile&utm_medium=organic_local&utm_campaign=meo_weekly_202606&utm_content=GBP-01,ready,1,,,,,,投稿後にGBP反応とWebクリックを確認,self
GBP-02,gbp,AI検索・MEO・公式情報の整理,https://digitool-lab.com/ai-search-meo-support/,https://digitool-lab.com/ai-search-meo-support/?utm_source=google_business_profile&utm_medium=organic_local&utm_campaign=meo_weekly_202606&utm_content=GBP-02,ready,2,,,,,,投稿後にGBP反応とWebクリックを確認,self
GBP-03,gbp,社内ポータル・業務システム相談,https://digitool-lab.com/internal-portal-development/,https://digitool-lab.com/internal-portal-development/?utm_source=google_business_profile&utm_medium=organic_local&utm_campaign=meo_weekly_202606&utm_content=GBP-03,ready,3,,,,,,投稿後にGBP反応とWebクリックを確認,self
GBP-04,gbp,生成AI研修・社内ルールづくり,https://digitool-lab.com/ai-training-saitama/,https://digitool-lab.com/ai-training-saitama/?utm_source=google_business_profile&utm_medium=organic_local&utm_campaign=meo_weekly_202606&utm_content=GBP-04,ready,4,,,,,,投稿後にGBP反応とWebクリックを確認,self
